job_id,skill,skill_category,skill_level
N1W1HT7PZE9V,PyTorch,ML,Basic
N1W1HT7PZE9V,Azure,Cloud,Basic
96QE3RZSJ49I,PyTorch,ML,Advanced
96QE3RZSJ49I,SQL,Programming,Intermediate
96QE3RZSJ49I,Python,Programming,Advanced
96QE3RZSJ49I,GCP,Cloud,Advanced
14M2JA04UX5Q,SQL,Programming,Advanced
14M2JA04UX5Q,AWS,Cloud,Basic
14M2JA04UX5Q,GCP,Cloud,Basic
14M2JA04UX5Q,Computer Vision,ML,Basic
14M2JA04UX5Q,Azure,Cloud,Basic
14M2JA04UX5Q,Python,Programming,Intermediate
IN4OLR6N92XF,Scikit-learn,ML,Intermediate
IN4OLR6N92XF,R,Programming,Advanced
IN4OLR6N92XF,AWS,Cloud,Advanced
IN4OLR6N92XF,Python,Programming,Advanced
IN4OLR6N92XF,PyTorch,ML,Intermediate
SQ0OXFQ8MYX4,Azure,Cloud,Advanced
SQ0OXFQ8MYX4,GCP,Cloud,Basic
SQ0OXFQ8MYX4,Python,Programming,Advanced
SQ0OXFQ8MYX4,Scikit-learn,ML,Basic
SQ0OXFQ8MYX4,NLP,ML,Basic
WIYKID91ZDFK,PyTorch,ML,Advanced
WIYKID91ZDFK,Scikit-learn,ML,Advanced
WIYKID91ZDFK,SQL,Programming,Advanced
TU2GC5WI6FQJ,Scikit-learn,ML,Advanced
TU2GC5WI6FQJ,GCP,Cloud,Intermediate
TU2GC5WI6FQJ,Azure,Cloud,Advanced
TU2GC5WI6FQJ,Computer Vision,ML,Basic
TU2GC5WI6FQJ,SQL,Programming,Basic
89K8YQK94DNM,Azure,Cloud,Basic
89K8YQK94DNM,NLP,ML,Basic
89K8YQK94DNM,AWS,Cloud,Basic
89K8YQK94DNM,R,Programming,Advanced
89K8YQK94DNM,TensorFlow,ML,Advanced
2960361I2HGJ,AWS,Cloud,Basic
2960361I2HGJ,TensorFlow,ML,Advanced
2960361I2HGJ,SQL,Programming,Basic
2960361I2HGJ,Computer Vision,ML,Intermediate
2960361I2HGJ,Azure,Cloud,Advanced
2BNE6LOH25NS,AWS,Cloud,Advanced
2BNE6LOH25NS,GCP,Cloud,Intermediate
2BNE6LOH25NS,Python,Programming,Intermediate
2BNE6LOH25NS,PyTorch,ML,Advanced
8F840982N2AT,Computer Vision,ML,Intermediate
8F840982N2AT,NLP,ML,Advanced
8F840982N2AT,AWS,Cloud,Advanced
8F840982N2AT,TensorFlow,ML,Intermediate
IA5U6HC36KOF,R,Programming,Basic
IA5U6HC36KOF,Scikit-learn,ML,Intermediate
IA5U6HC36KOF,NLP,ML,Intermediate
N8ZTV05X4W7K,NLP,ML,Basic
N8ZTV05X4W7K,R,Programming,Basic
N8ZTV05X4W7K,PyTorch,ML,Basic
T9MOGE4QXXVA,AWS,Cloud,Basic
T9MOGE4QXXVA,SQL,Programming,Intermediate
T9MOGE4QXXVA,Computer Vision,ML,Intermediate
T9MOGE4QXXVA,PyTorch,ML,Advanced
T9MOGE4QXXVA,GCP,Cloud,Intermediate
T9MOGE4QXXVA,Azure,Cloud,Basic
3I12VJ99T2D5,SQL,Programming,Intermediate
3I12VJ99T2D5,PyTorch,ML,Advanced
3I12VJ99T2D5,Python,Programming,Advanced
EPECQNVQHW06,SQL,Programming,Advanced
EPECQNVQHW06,NLP,ML,Basic
EPECQNVQHW06,TensorFlow,ML,Basic
EPECQNVQHW06,Computer Vision,ML,Basic
EPECQNVQHW06,R,Programming,Advanced
EPECQNVQHW06,PyTorch,ML,Basic
YR6CCVCJWTL9,PyTorch,ML,Basic
YR6CCVCJWTL9,GCP,Cloud,Intermediate
YR6CCVCJWTL9,Computer Vision,ML,Intermediate
YR6CCVCJWTL9,R,Programming,Basic
YR6CCVCJWTL9,TensorFlow,ML,Basic
YR6CCVCJWTL9,Scikit-learn,ML,Intermediate
4X1ZHQIMQODP,Python,Programming,Intermediate
4X1ZHQIMQODP,Computer Vision,ML,Intermediate
4X1ZHQIMQODP,AWS,Cloud,Intermediate
4X1ZHQIMQODP,Azure,Cloud,Advanced
4X1ZHQIMQODP,R,Programming,Intermediate
4X1ZHQIMQODP,TensorFlow,ML,Intermediate
P0NEC8UYO57P,PyTorch,ML,Advanced
P0NEC8UYO57P,NLP,ML,Basic
P0NEC8UYO57P,Azure,Cloud,Advanced
FR4MUEKIPU1W,PyTorch,ML,Intermediate
FR4MUEKIPU1W,Computer Vision,ML,Intermediate
FR4MUEKIPU1W,Python,Programming,Basic
FR4MUEKIPU1W,R,Programming,Advanced
FR4MUEKIPU1W,AWS,Cloud,Basic
FR4MUEKIPU1W,Azure,Cloud,Advanced
J17MGFXC08DT,Azure,Cloud,Advanced
J17MGFXC08DT,GCP,Cloud,Advanced
J17MGFXC08DT,AWS,Cloud,Basic
V5F1BCPPVOHS,TensorFlow,ML,Basic
V5F1BCPPVOHS,PyTorch,ML,Intermediate
V5F1BCPPVOHS,R,Programming,Advanced
V5F1BCPPVOHS,AWS,Cloud,Intermediate
V5F1BCPPVOHS,Python,Programming,Advanced
LH9BH811KERP,Python,Programming,Advanced
LH9BH811KERP,SQL,Programming,Intermediate
LH9BH811KERP,NLP,ML,Advanced
C5BA75UUZPEA,Scikit-learn,ML,Intermediate
C5BA75UUZPEA,NLP,ML,Intermediate
C5BA75UUZPEA,AWS,Cloud,Advanced
C5BA75UUZPEA,TensorFlow,ML,Intermediate
POC50H2CWTG1,GCP,Cloud,Intermediate
POC50H2CWTG1,TensorFlow,ML,Intermediate
POC50H2CWTG1,Scikit-learn,ML,Intermediate
POC50H2CWTG1,R,Programming,Advanced
F1C8WQUUY5X9,GCP,Cloud,Intermediate
F1C8WQUUY5X9,Computer Vision,ML,Intermediate
F1C8WQUUY5X9,SQL,Programming,Basic
2VMCQBNKX9DV,NLP,ML,Basic
2VMCQBNKX9DV,GCP,Cloud,Basic
2VMCQBNKX9DV,Computer Vision,ML,Basic
2VMCQBNKX9DV,Scikit-learn,ML,Advanced
2VMCQBNKX9DV,TensorFlow,ML,Intermediate
GVS8Q349DXBZ,SQL,Programming,Advanced
GVS8Q349DXBZ,Computer Vision,ML,Intermediate
GVS8Q349DXBZ,Scikit-learn,ML,Advanced
1YBWMLUNJ48V,TensorFlow,ML,Advanced
1YBWMLUNJ48V,R,Programming,Advanced
1YBWMLUNJ48V,Python,Programming,Advanced
1YBWMLUNJ48V,Computer Vision,ML,Intermediate
1YBWMLUNJ48V,AWS,Cloud,Advanced
1YBWMLUNJ48V,NLP,ML,Intermediate
XEZDUXLEZ896,Python,Programming,Intermediate
XEZDUXLEZ896,GCP,Cloud,Intermediate
XEZDUXLEZ896,Scikit-learn,ML,Intermediate
XEZDUXLEZ896,R,Programming,Advanced
M1G9FK2ST0SX,TensorFlow,ML,Advanced
M1G9FK2ST0SX,AWS,Cloud,Basic
M1G9FK2ST0SX,Python,Programming,Advanced
M1G9FK2ST0SX,Scikit-learn,ML,Basic
M1G9FK2ST0SX,Azure,Cloud,Intermediate
3FPOYIPK0QTL,GCP,Cloud,Intermediate
3FPOYIPK0QTL,PyTorch,ML,Intermediate
3FPOYIPK0QTL,R,Programming,Basic
3FPOYIPK0QTL,AWS,Cloud,Intermediate
3FPOYIPK0QTL,TensorFlow,ML,Basic
3FPOYIPK0QTL,Scikit-learn,ML,Advanced
SPFHV5BRN7ZS,AWS,Cloud,Advanced
SPFHV5BRN7ZS,R,Programming,Intermediate
SPFHV5BRN7ZS,PyTorch,ML,Intermediate
SPFHV5BRN7ZS,Python,Programming,Intermediate
8HQMABSI9NB7,Python,Programming,Intermediate
8HQMABSI9NB7,Computer Vision,ML,Advanced
8HQMABSI9NB7,SQL,Programming,Intermediate
8HQMABSI9NB7,R,Programming,Advanced
8HQMABSI9NB7,Azure,Cloud,Basic
8HQMABSI9NB7,Scikit-learn,ML,Advanced
31QW6AHF7VP1,GCP,Cloud,Advanced
31QW6AHF7VP1,NLP,ML,Intermediate
31QW6AHF7VP1,Computer Vision,ML,Basic
31QW6AHF7VP1,PyTorch,ML,Basic
C4RTWUZKAMUG,NLP,ML,Intermediate
C4RTWUZKAMUG,Computer Vision,ML,Basic
C4RTWUZKAMUG,AWS,Cloud,Basic
C4RTWUZKAMUG,R,Programming,Advanced
C4RTWUZKAMUG,Azure,Cloud,Intermediate
C4RTWUZKAMUG,Scikit-learn,ML,Advanced
A5BNN0MCIXDU,AWS,Cloud,Advanced
A5BNN0MCIXDU,Computer Vision,ML,Advanced
A5BNN0MCIXDU,TensorFlow,ML,Basic
A5BNN0MCIXDU,NLP,ML,Intermediate
A5BNN0MCIXDU,Scikit-learn,ML,Basic
9RGEZ7BH25LL,Azure,Cloud,Advanced
9RGEZ7BH25LL,TensorFlow,ML,Advanced
9RGEZ7BH25LL,NLP,ML,Basic
5BXJ2POP8MGY,GCP,Cloud,Basic
5BXJ2POP8MGY,Azure,Cloud,Basic
5BXJ2POP8MGY,Python,Programming,Basic
5BXJ2POP8MGY,NLP,ML,Advanced
TLCXLVPYMB5M,Azure,Cloud,Advanced
TLCXLVPYMB5M,GCP,Cloud,Advanced
TLCXLVPYMB5M,PyTorch,ML,Advanced
TLCXLVPYMB5M,R,Programming,Basic
Y8FV2BC2NNUV,SQL,Programming,Advanced
Y8FV2BC2NNUV,Scikit-learn,ML,Intermediate
Y8FV2BC2NNUV,Computer Vision,ML,Basic
NLK8AGS6E1ZH,PyTorch,ML,Advanced
NLK8AGS6E1ZH,NLP,ML,Basic
NLK8AGS6E1ZH,Computer Vision,ML,Intermediate
QDY4LMCT64Z7,Scikit-learn,ML,Intermediate
QDY4LMCT64Z7,TensorFlow,ML,Intermediate
QDY4LMCT64Z7,Python,Programming,Advanced
QDY4LMCT64Z7,R,Programming,Basic
QDY4LMCT64Z7,Computer Vision,ML,Intermediate
QDY4LMCT64Z7,AWS,Cloud,Advanced
2ATN2TWDL9ZS,SQL,Programming,Intermediate
2ATN2TWDL9ZS,Python,Programming,Basic
2ATN2TWDL9ZS,Azure,Cloud,Advanced
2ATN2TWDL9ZS,Computer Vision,ML,Basic
SE3TV1ES53SK,GCP,Cloud,Advanced
SE3TV1ES53SK,SQL,Programming,Advanced
SE3TV1ES53SK,AWS,Cloud,Basic
SE3TV1ES53SK,Azure,Cloud,Intermediate
H8JWWDXVUGW6,TensorFlow,ML,Advanced
H8JWWDXVUGW6,Azure,Cloud,Basic
H8JWWDXVUGW6,Python,Programming,Basic
H8JWWDXVUGW6,AWS,Cloud,Intermediate
X1OXRWK8R2YK,PyTorch,ML,Basic
X1OXRWK8R2YK,R,Programming,Advanced
X1OXRWK8R2YK,TensorFlow,ML,Intermediate
VLZ049ENULQJ,Scikit-learn,ML,Advanced
VLZ049ENULQJ,TensorFlow,ML,Intermediate
VLZ049ENULQJ,Azure,Cloud,Basic
VLZ049ENULQJ,NLP,ML,Basic
VLZ049ENULQJ,GCP,Cloud,Advanced
37ZGF9Q5RDOQ,NLP,ML,Advanced
37ZGF9Q5RDOQ,R,Programming,Intermediate
37ZGF9Q5RDOQ,Azure,Cloud,Basic
37ZGF9Q5RDOQ,Python,Programming,Advanced
37ZGF9Q5RDOQ,PyTorch,ML,Basic
37ZGF9Q5RDOQ,GCP,Cloud,Basic
YKADEJNOBBUN,Scikit-learn,ML,Advanced
YKADEJNOBBUN,Azure,Cloud,Advanced
YKADEJNOBBUN,SQL,Programming,Advanced
YKADEJNOBBUN,GCP,Cloud,Intermediate
YKADEJNOBBUN,R,Programming,Advanced
YKADEJNOBBUN,TensorFlow,ML,Intermediate
VEDN9UNFVOBB,Computer Vision,ML,Advanced
VEDN9UNFVOBB,NLP,ML,Advanced
VEDN9UNFVOBB,Scikit-learn,ML,Basic
VEDN9UNFVOBB,SQL,Programming,Advanced
7LOW4VSSRURA,AWS,Cloud,Basic
7LOW4VSSRURA,Scikit-learn,ML,Intermediate
7LOW4VSSRURA,PyTorch,ML,Basic
7LOW4VSSRURA,SQL,Programming,Intermediate
AR821UZVGWW4,TensorFlow,ML,Intermediate
AR821UZVGWW4,R,Programming,Advanced
AR821UZVGWW4,AWS,Cloud,Advanced
AR821UZVGWW4,SQL,Programming,Advanced
LFYO1750CEHL,Computer Vision,ML,Advanced
LFYO1750CEHL,R,Programming,Basic
LFYO1750CEHL,GCP,Cloud,Basic
LFYO1750CEHL,TensorFlow,ML,Advanced
LFYO1750CEHL,SQL,Programming,Basic
LFYO1750CEHL,AWS,Cloud,Intermediate
M1ZXYVGIUI9K,PyTorch,ML,Basic
M1ZXYVGIUI9K,Azure,Cloud,Advanced
M1ZXYVGIUI9K,Python,Programming,Advanced
72JEYN9382KK,GCP,Cloud,Intermediate
72JEYN9382KK,R,Programming,Basic
72JEYN9382KK,PyTorch,ML,Advanced
72JEYN9382KK,Scikit-learn,ML,Intermediate
72JEYN9382KK,Computer Vision,ML,Intermediate
3JUJD0IB6IID,Scikit-learn,ML,Advanced
3JUJD0IB6IID,AWS,Cloud,Basic
3JUJD0IB6IID,SQL,Programming,Intermediate
3JUJD0IB6IID,Computer Vision,ML,Advanced
O75RH8LX6DUT,NLP,ML,Advanced
O75RH8LX6DUT,AWS,Cloud,Advanced
O75RH8LX6DUT,Azure,Cloud,Intermediate
7875AUD9K9TR,Azure,Cloud,Basic
7875AUD9K9TR,SQL,Programming,Advanced
7875AUD9K9TR,Computer Vision,ML,Basic
7875AUD9K9TR,PyTorch,ML,Basic
7875AUD9K9TR,GCP,Cloud,Basic
QJG02U1G463S,R,Programming,Basic
QJG02U1G463S,Azure,Cloud,Basic
QJG02U1G463S,NLP,ML,Basic
QJG02U1G463S,SQL,Programming,Intermediate
NQJLUUJMIYQF,TensorFlow,ML,Basic
NQJLUUJMIYQF,Scikit-learn,ML,Advanced
NQJLUUJMIYQF,AWS,Cloud,Basic
NQJLUUJMIYQF,NLP,ML,Basic
NQJLUUJMIYQF,Python,Programming,Advanced
HEF0VOTQTXHI,Python,Programming,Basic
HEF0VOTQTXHI,AWS,Cloud,Intermediate
HEF0VOTQTXHI,TensorFlow,ML,Advanced
HEF0VOTQTXHI,PyTorch,ML,Intermediate
HEF0VOTQTXHI,Computer Vision,ML,Basic
CTSUFLSEHUDS,NLP,ML,Intermediate
CTSUFLSEHUDS,Azure,Cloud,Intermediate
CTSUFLSEHUDS,Scikit-learn,ML,Intermediate
YLAJAHCPZTC6,Azure,Cloud,Advanced
YLAJAHCPZTC6,Python,Programming,Basic
YLAJAHCPZTC6,NLP,ML,Intermediate
YLAJAHCPZTC6,GCP,Cloud,Intermediate
YLAJAHCPZTC6,Computer Vision,ML,Advanced
XP9N56NYXTXM,NLP,ML,Basic
XP9N56NYXTXM,TensorFlow,ML,Intermediate
XP9N56NYXTXM,PyTorch,ML,Basic
XP9N56NYXTXM,AWS,Cloud,Basic
9QZPNIQFG51B,Computer Vision,ML,Intermediate
9QZPNIQFG51B,Azure,Cloud,Advanced
9QZPNIQFG51B,Scikit-learn,ML,Basic
9QZPNIQFG51B,NLP,ML,Basic
9QZPNIQFG51B,Python,Programming,Intermediate
9QZPNIQFG51B,R,Programming,Basic
QY5IBPT11F9I,SQL,Programming,Advanced
QY5IBPT11F9I,GCP,Cloud,Advanced
QY5IBPT11F9I,NLP,ML,Intermediate
KFXHKC856WPR,Azure,Cloud,Advanced
KFXHKC856WPR,AWS,Cloud,Intermediate
KFXHKC856WPR,SQL,Programming,Intermediate
KFXHKC856WPR,Python,Programming,Basic
KFXHKC856WPR,GCP,Cloud,Advanced
N1R4KZ36U8UE,NLP,ML,Basic
N1R4KZ36U8UE,R,Programming,Intermediate
N1R4KZ36U8UE,Scikit-learn,ML,Basic
N1R4KZ36U8UE,AWS,Cloud,Advanced
N1R4KZ36U8UE,TensorFlow,ML,Basic
N1R4KZ36U8UE,PyTorch,ML,Intermediate
T3BNVBC2VYHH,AWS,Cloud,Advanced
T3BNVBC2VYHH,R,Programming,Intermediate
T3BNVBC2VYHH,Scikit-learn,ML,Advanced
ZZOILKQXLM5Q,NLP,ML,Basic
ZZOILKQXLM5Q,Scikit-learn,ML,Intermediate
ZZOILKQXLM5Q,Azure,Cloud,Advanced
ZZOILKQXLM5Q,TensorFlow,ML,Intermediate
0ATVZKHIUIT7,Computer Vision,ML,Basic
0ATVZKHIUIT7,SQL,Programming,Intermediate
0ATVZKHIUIT7,Scikit-learn,ML,Basic
2GZR7TXCB48Y,Scikit-learn,ML,Basic
2GZR7TXCB48Y,PyTorch,ML,Advanced
2GZR7TXCB48Y,R,Programming,Advanced
2GZR7TXCB48Y,Azure,Cloud,Basic
SNWYWRRATATJ,TensorFlow,ML,Intermediate
SNWYWRRATATJ,NLP,ML,Advanced
SNWYWRRATATJ,SQL,Programming,Intermediate
SNWYWRRATATJ,AWS,Cloud,Basic
FGS3JONOU9IY,Scikit-learn,ML,Intermediate
FGS3JONOU9IY,GCP,Cloud,Advanced
FGS3JONOU9IY,SQL,Programming,Intermediate
FGS3JONOU9IY,PyTorch,ML,Advanced
WZC4XL9967I6,R,Programming,Basic
WZC4XL9967I6,Scikit-learn,ML,Intermediate
WZC4XL9967I6,NLP,ML,Basic
WZC4XL9967I6,GCP,Cloud,Advanced
XG4AHF337KUU,GCP,Cloud,Intermediate
XG4AHF337KUU,PyTorch,ML,Advanced
XG4AHF337KUU,Scikit-learn,ML,Intermediate
XG4AHF337KUU,SQL,Programming,Intermediate
XG4AHF337KUU,Computer Vision,ML,Basic
C0MDICVWV8LW,NLP,ML,Advanced
C0MDICVWV8LW,AWS,Cloud,Advanced
C0MDICVWV8LW,TensorFlow,ML,Basic
C0MDICVWV8LW,Python,Programming,Advanced
C0MDICVWV8LW,Azure,Cloud,Intermediate
XDW2ZCFZW0LD,Python,Programming,Advanced
XDW2ZCFZW0LD,NLP,ML,Intermediate
